iter	Passed	Remaining
0	57	56973
1	57	28667
2	57	19227
3	58	14495
4	58	11664
5	58	9770
6	59	8403
7	59	7399
8	59	6605
9	60	5969
10	60	5457
11	61	5026
12	61	4665
13	61	4353
14	62	4079
15	62	3837
16	62	3623
17	62	3432
18	63	3271
19	63	3124
20	64	2986
21	64	2871
22	65	2762
23	65	2659
24	65	2566
25	66	2480
26	66	2395
27	66	2320
28	67	2252
29	67	2188
30	67	2125
31	68	2067
32	68	2012
33	68	1959
34	69	1908
35	69	1864
36	70	1821
37	70	1780
38	70	1741
39	71	1707
40	71	1673
41	71	1641
42	72	1608
43	72	1577
44	72	1547
45	73	1518
46	73	1490
47	73	1463
48	74	1438
49	74	1414
50	74	1393
51	75	1371
52	75	1350
53	75	1329
54	76	1309
55	76	1289
56	76	1270
57	77	1254
58	77	1238
59	78	1222
60	78	1206
61	78	1192
62	79	1177
63	79	1163
64	79	1150
65	80	1135
66	80	1121
67	80	1109
68	81	1095
69	81	1082
70	81	1072
71	82	1059
72	82	1047
73	82	1037
74	83	1026
75	83	1016
76	83	1005
77	84	995
78	84	986
79	84	976
80	85	966
81	85	957
82	85	946
83	85	937
84	86	929
85	86	920
86	86	912
87	87	905
88	87	899
89	88	892
90	88	886
91	89	879
92	89	873
93	89	867
94	90	860
95	90	853
96	91	847
97	91	841
98	91	835
99	92	828
100	92	822
101	92	816
102	93	810
103	93	805
104	93	799
105	94	794
106	94	789
107	94	784
108	95	778
109	95	774
110	96	769
111	96	764
112	96	759
113	97	754
114	97	750
115	97	746
116	98	741
117	98	738
118	99	734
119	99	730
120	100	726
121	100	721
122	100	717
123	101	713
124	101	709
125	101	705
126	102	701
127	102	698
128	102	694
129	103	690
130	103	686
131	103	682
132	104	678
133	104	675
134	104	672
135	105	669
136	105	665
137	105	661
138	106	659
139	106	656
140	107	653
141	107	649
142	107	645
143	108	643
144	108	640
145	109	637
146	109	634
147	109	631
148	110	628
149	110	626
150	110	624
151	111	621
152	111	618
153	112	616
154	112	613
155	112	610
156	113	607
157	113	605
158	113	602
159	114	600
160	114	596
161	115	594
162	115	594
163	116	592
164	116	589
165	116	587
166	117	584
167	117	582
168	117	579
169	118	577
170	118	574
171	118	572
172	119	570
173	119	568
174	120	566
175	120	564
176	120	561
177	121	559
178	121	557
179	121	555
180	122	552
181	122	550
182	122	548
183	123	546
184	123	544
185	123	541
186	124	539
187	124	537
188	124	535
189	124	532
190	125	531
191	126	530
192	126	528
193	126	527
194	127	525
195	127	523
196	128	522
197	128	521
198	129	519
199	129	518
200	129	516
201	130	515
202	130	513
203	131	511
204	131	509
205	131	507
206	132	506
207	132	504
208	133	503
209	133	501
210	133	500
211	134	498
212	134	496
213	134	495
214	135	493
215	135	491
216	135	490
217	136	488
218	136	486
219	136	484
220	137	483
221	137	481
222	137	479
223	138	478
224	138	476
225	138	474
226	139	473
227	139	472
228	139	470
229	140	469
230	140	468
231	141	467
232	141	465
233	141	464
234	142	463
235	142	462
236	143	460
237	143	459
238	143	457
239	144	456
240	144	455
241	144	453
242	145	452
243	145	451
244	146	449
245	146	448
246	146	447
247	147	446
248	147	444
249	147	443
250	148	442
251	148	440
252	148	439
253	149	437
254	149	436
255	149	435
256	150	434
257	150	432
258	150	431
259	151	430
260	151	429
261	152	428
262	152	427
263	152	426
264	153	425
265	153	423
266	154	422
267	154	422
268	155	421
269	155	420
270	155	419
